"Ô¶¾°","1","1","1#1500-100nm","1","2021-11-10 11:20:30",0,0,1500,20,100,1
1503.718,-9.953613,4.32,0,0,0,0,6006
0,1
2.253418,0,3
2.253418,0,12
1.643066,0,21
1.643066,0,30
1.643066,0,39
1.948242,0,48
1.643066,0,57
-.1879883,0,66
-3.239746,0,75
-5.070801,0,84
-7.512207,0,93
-9.953613,0,102
-7.512207,0,111
-7.512207,0,120
-5.681152,0,129
-5.070801,0,138
-5.070801,0,147
-5.070801,0,156
-5.070801,0,165
-5.070801,0,174
-5.070801,0,183
-5.070801,0,192
-2.629395,0,201
-2.629395,0,210
-2.629395,0,219
-1.103516,0,228
-.4931641,0,237
-.1879883,0,246
-.1879883,0,255
-.1879883,0,264
1.337891,0,273
-.1879883,0,282
-.1879883,0,291
-.1879883,0,300
1.643066,0,309
2.253418,0,318
2.253418,0,327
3.474121,0,336
4.389648,0,345
4.694824,0,354
4.694824,0,363
4.694824,0,372
4.694824,0,381
4.694824,0,390
7.13623,0,399
7.13623,0,408
7.746582,0,417
8.662109,0,426
9.272461,0,435
9.577637,0,444
9.577637,0,453
9.577637,0,462
9.577637,0,471
9.577637,0,480
11.40869,0,489
11.71387,0,498
12.01904,0,507
13.8501,0,516
13.8501,0,525
14.46045,0,534
14.46045,0,543
15.98633,0,552
16.2915,0,561
16.90186,0,570
17.51221,0,579
17.51221,0,588
18.42773,0,597
17.51221,0,606
18.42773,0,615
19.34326,0,624
19.34326,0,633
19.34326,0,642
21.78467,0,651
23.31055,0,660
24.22607,0,669
24.22607,0,678
24.22607,.009,687
24.22607,.009,696
26.66748,.009,705
26.66748,.009,714
28.49854,.009,723
29.10889,.009,732
29.10889,.009,741
29.10889,.009,750
30.63477,.009,759
31.55029,.009,768
31.55029,.009,777
32.771,.009,786
32.16064,.009,795
33.38135,.009,804
33.9917,.009,813
33.9917,.009,822
35.82275,.009,831
35.82275,.009,840
36.43311,.009,849
37.65381,.009,858
38.56934,.009,867
38.87451,.009,876
38.87451,.009,885
38.87451,.009,894
41.31592,.009,903
41.31592,.009,912
42.53662,.009,921
43.45215,.009,930
43.75732,.009,939
43.75732,.009,948
43.75732,.009,957
43.75732,.009,966
45.58838,.009,975
46.19873,.009,984
46.80908,.009,993
48.02979,.009,1002
48.64014,.009,1011
50.16602,.009,1020
51.08154,.009,1029
51.08154,.009,1038
52.60742,.009,1047
52.9126,.009,1056
53.52295,.009,1065
53.52295,.009,1074
55.96436,.009,1083
55.96436,.009,1092
57.49023,.009,1101
57.79541,.009,1110
58.40576,.009,1119
58.40576,.018,1128
58.40576,.018,1137
60.54199,.018,1146
62.37305,.018,1155
62.9834,.018,1164
63.28857,.018,1173
63.28857,.018,1182
65.11963,.018,1191
66.34033,.018,1200
67.25586,.018,1209
67.25586,.018,1218
67.56104,.018,1227
68.17139,.018,1236
68.17139,.018,1245
68.17139,.018,1254
69.69727,.027,1263
70.00244,.027,1272
70.61279,.027,1281
70.61279,.027,1290
70.61279,.027,1299
72.13867,.027,1308
72.13867,.027,1317
73.0542,.027,1326
73.0542,.027,1335
74.88525,.027,1344
73.0542,.027,1353
75.49561,.036,1362
75.49561,.036,1371
76.10596,.036,1380
76.10596,.036,1389
77.02148,.036,1398
77.63184,.036,1407
77.93701,.036,1416
77.93701,.045,1425
77.93701,.045,1434
77.93701,.045,1443
79.46289,.045,1452
80.37842,.045,1461
80.37842,.054,1470
81.9043,.054,1479
80.98877,.054,1488
82.20947,.054,1497
82.81982,.063,1506
82.81982,.063,1515
82.81982,.063,1524
84.65088,.063,1533
84.65088,.072,1542
85.26123,.072,1551
85.26123,.072,1560
86.48193,.072,1569
87.39746,.081,1578
87.70264,.081,1587
87.70264,.081,1596
87.70264,.081,1605
89.83887,.09,1614
90.14404,.09,1623
91.36475,.09,1632
91.66992,.099,1641
92.28027,.099,1650
92.58545,.099,1659
92.58545,.108,1668
92.58545,.108,1677
95.02686,.108,1686
95.63721,.108,1695
96.55273,.117,1704
96.85791,.117,1713
97.46826,.117,1722
97.46826,.126,1731
97.46826,.126,1740
99.29932,.126,1749
99.90967,.135,1758
99.90967,.135,1767
101.4355,.135,1776
102.3511,.144,1785
102.3511,.144,1794
103.877,.144,1803
104.1821,.153,1812
104.4873,.153,1821
106.0132,.153,1830
106.3184,.162,1839
107.2339,.162,1848
107.2339,.171,1857
107.2339,.171,1866
