Time,×ó²à left,ÓÒ²à offside,,,,,,,,
18:01,61.6,47,,,,,,,,
18:01,61.6,47,,,,,,,,
18:01,61.7,47.1,,,,,,,,
18:01,61.7,47,,,,,,,,
18:01,61.8,47.1,,,,,,,,
18:01,61.8,47.1,,,,,,,,
18:01,61.8,47.1,,,,,,,,
18:01,61.8,47.1,,,,,,,,
18:01,61.9,47.1,,,,,,,,
18:01,61.9,47.1,,,,,,,,
18:01,62,47.1,,,,,,,,
18:01,62,47.1,,,,,,,,
18:01,62.1,47.1,,,,,,,,
18:01,62.1,47.1,,,,,,,,
18:01,62.1,47.1,,,,,,,,
18:01,62.2,47.2,,,,,,,,
18:01,62.2,47.2,,,,,,,,
18:01,62.3,47.2,,,,,,,,
18:01,62.3,47.3,,,,,,,,
18:01,62.3,47.2,,,,,,,,
18:01,62.3,47.2,,,,,,,,
18:01,62.4,47.3,,,,,,,,
18:01,62.4,47.3,,,,,,,,
18:01,62.4,47.3,,,,,,,,
18:01,62.4,47.3,,,,,,,,
18:01,62.5,47.3,,,,,,,,
18:02,62.5,47.3,,,,,,,,
18:02,62.5,47.3,,,,,,,,
18:02,62.6,47.3,,,,,,,,
18:02,62.6,47.3,,,,,,,,
18:02,62.6,47.3,,,,,,,,
18:02,62.7,47.3,,,,,,,,
18:02,62.7,47.3,,,,,,,,
18:02,62.8,47.3,,,,,,,,
18:02,62.8,47.3,,,,,,,,
18:02,62.9,47.3,,,,,,,,
18:02,62.9,47.3,,,,,,,,
18:02,62.9,47.3,,,,,,,,
18:02,63,47.3,,,,,,,,
18:02,62.9,47.4,,,,,,,,
18:02,63,47.4,,,,,,,,
18:02,63.1,47.4,,,,,,,,
18:02,63.1,47.4,,,,,,,,
18:02,63.1,47.4,,,,,,,,
18:02,63.1,47.4,,,,,,,,
18:02,63.2,47.5,,,,,,,,
18:02,63.2,47.5,,,,,,,,
18:02,63.3,47.5,,,,,,,,
18:02,63.3,47.5,,,,,,,,
18:02,63.3,47.5,,,,,,,,
18:02,63.4,47.6,,,,,,,,
18:02,63.4,47.6,,,,,,,,
18:02,63.4,47.6,,,,,,,,
18:02,63.5,47.6,,,,,,,,
18:02,63.6,47.6,,,,,,,,
18:02,63.6,47.6,,,,,,,,
18:02,63.6,47.6,,,,,,,,
18:02,63.6,47.6,,,,,,,,
18:02,63.6,47.6,,,,,,,,
18:02,63.7,47.7,,,,,,,,
18:02,63.6,47.6,,,,,,,,
18:02,63.7,47.7,,,,,,,,
18:02,63.7,47.7,,,,,,,,
18:02,63.8,47.7,,,,,,,,
18:02,63.8,47.8,,,,,,,,
18:02,63.8,47.8,,,,,,,,
18:02,63.9,47.8,,,,,,,,
18:02,63.9,47.8,,,,,,,,
18:02,63.9,47.8,,,,,,,,
18:02,63.9,47.8,,,,,,,,
18:02,63.9,47.8,,,,,,,,
18:02,63.9,47.8,,,,,,,,
18:02,64,47.8,,,,,,,,
18:02,64.1,47.8,,,,,,,,
18:02,64.1,47.8,,,,,,,,
18:02,64.1,47.8,,,,,,,,
18:02,64.2,47.8,,,,,,,,
18:02,64.2,47.8,,,,,,,,
18:02,64.3,47.8,,,,,,,,
18:02,64.3,47.8,,,,,,,,
18:02,64.3,47.8,,,,,,,,
18:02,64.3,47.8,,,,,,,,
18:02,64.3,47.9,,,,,,,,
18:02,64.4,47.9,,,,,,,,
18:02,64.4,47.9,,,,,,,,
18:02,64.4,47.9,,,,,,,,
18:03,64.5,47.9,,,,,,,,
18:03,64.5,47.9,,,,,,,,
18:03,64.5,48,,,,,,,,
18:03,64.5,48,,,,,,,,
18:03,64.6,47.9,,,,,,,,
18:03,64.6,48,,,,,,,,
18:03,64.6,48,,,,,,,,
18:03,64.7,48,,,,,,,,
18:03,64.8,48,,,,,,,,
18:03,64.8,48,,,,,,,,
18:03,64.8,48,,,,,,,,
18:03,64.8,48,,,,,,,,
18:03,64.9,48.1,,,,,,,,
18:03,64.9,48,,,,,,,,
18:03,64.9,48.1,,,,,,,,
18:03,64.9,48.1,,,,,,,,
18:03,64.9,48,,,,,,,,
18:03,64.9,48.1,,,,,,,,
18:03,65,48.1,,,,,,,,
18:03,65,48.1,,,,,,,,
18:03,65.1,48.1,,,,,,,,
18:03,65.1,48.1,,,,,,,,
18:03,65.1,48.1,,,,,,,,
18:03,65.1,48.1,,,,,,,,
18:03,65.2,48.1,,,,,,,,
18:03,65.2,48.1,,,,,,,,
18:03,65.2,48.2,,,,,,,,
18:03,65.3,48.2,,,,,,,,
18:03,65.3,48.2,,,,,,,,
18:03,65.3,48.2,,,,,,,,
18:03,65.3,48.2,,,,,,,,
18:03,65.4,48.2,,,,,,,,
18:03,65.4,48.2,,,,,,,,
18:03,65.4,48.2,,,,,,,,
18:03,65.4,48.2,,,,,,,,
18:03,65.4,48.3,,,,,,,,
18:03,65.4,48.2,,,,,,,,
18:03,65.5,48.3,,,,,,,,
18:03,65.6,48.3,,,,,,,,
18:03,65.5,48.3,,,,,,,,
18:03,65.6,48.3,,,,,,,,
18:03,65.6,48.3,,,,,,,,
18:03,65.6,48.3,,,,,,,,
18:03,65.6,48.4,,,,,,,,
18:03,65.7,48.4,,,,,,,,
18:03,65.7,48.4,,,,,,,,
18:03,65.7,48.4,,,,,,,,
18:03,65.7,48.4,,,,,,,,
18:03,65.8,48.4,,,,,,,,
18:03,65.8,48.4,,,,,,,,
18:03,65.8,48.4,,,,,,,,
18:03,65.8,48.4,,,,,,,,
18:03,65.8,48.4,,,,,,,,
18:03,65.8,48.4,,,,,,,,
18:03,65.9,48.4,,,,,,,,
18:03,65.9,48.5,,,,,,,,
18:03,65.9,48.5,,,,,,,,
18:03,66,48.5,,,,,,,,
18:03,66,48.5,,,,,,,,
18:03,66,48.5,,,,,,,,
18:04,66.1,48.5,,,,,,,,
18:04,66,48.5,,,,,,,,
18:04,66.1,48.5,,,,,,,,
18:04,66.1,48.5,,,,,,,,
18:04,66.1,48.6,,,,,,,,
18:04,66.1,48.5,,,,,,,,
18:04,66.2,48.5,,,,,,,,
18:04,66.2,48.5,,,,,,,,
18:04,66.3,48.5,,,,,,,,
18:04,66.3,48.5,,,,,,,,
18:04,66.3,48.5,,,,,,,,
18:04,66.3,48.5,,,,,,,,
18:04,66.3,48.5,,,,,,,,
18:04,66.4,48.5,,,,,,,,
18:04,66.4,48.6,,,,,,,,
18:04,66.4,48.5,,,,,,,,
18:04,66.5,48.6,,,,,,,,
18:04,66.5,48.6,,,,,,,,
18:04,66.5,48.6,,,,,,,,
18:04,66.5,48.6,,,,,,,,
18:04,66.5,48.6,,,,,,,,
18:04,66.5,48.6,,,,,,,,
18:04,66.6,48.6,,,,,,,,
18:04,66.6,48.6,,,,,,,,
18:04,66.6,48.6,,,,,,,,
18:04,66.6,48.6,,,,,,,,
18:04,66.6,48.7,,,,,,,,
18:04,66.7,48.7,,,,,,,,
18:04,66.8,48.7,,,,,,,,
18:04,66.8,48.8,,,,,,,,
18:04,66.9,48.8,,,,,,,,
18:04,66.9,48.8,,,,,,,,
18:04,66.9,48.8,,,,,,,,
18:04,66.9,48.8,,,,,,,,
18:04,66.9,48.8,,,,,,,,
18:04,66.9,48.8,,,,,,,,
18:04,67,48.8,,,,,,,,
18:04,67,48.8,,,,,,,,
18:04,67.1,48.8,,,,,,,,
18:04,67.1,48.8,,,,,,,,
18:04,67.1,48.8,,,,,,,,
18:04,67.1,48.8,,,,,,,,
18:04,67.2,48.8,,,,,,,,
18:04,67.2,48.8,,,,,,,,
18:04,67.3,48.8,,,,,,,,
18:04,67.3,48.8,,,,,,,,
18:04,67.3,48.9,,,,,,,,
18:04,67.3,48.9,,,,,,,,
18:04,67.3,48.9,,,,,,,,
18:04,67.3,48.9,,,,,,,,
18:04,67.4,48.9,,,,,,,,
18:04,67.4,48.9,,,,,,,,
18:04,67.4,48.9,,,,,,,,
18:04,67.4,49,,,,,,,,
18:04,67.4,48.9,,,,,,,,
18:04,67.5,48.9,,,,,,,,
18:04,67.6,48.9,,,,,,,,
18:04,67.6,49,,,,,,,,
18:04,67.6,48.9,,,,,,,,
