"Ô¶¾°","1","1","1#545-100nm","1","2021-11-10 11:12:58",0,0,545,20,100,1
568.4199,-6.836426,3.186,0,0,0,0,3690
0,1
-1.953613,0,3
-1.953613,0,12
-1.953613,0,21
-1.953613,0,30
-1.953613,0,39
-1.953613,0,48
-1.953613,0,57
-1.953613,0,66
-2.869141,0,75
-3.784668,0,84
-5.005371,0,93
-5.005371,0,102
-4.39502,0,111
-4.39502,0,120
-3.784668,0,129
-2.258789,0,138
-1.953613,0,147
-1.953613,0,156
-.4277344,0,165
.487793,0,174
.487793,0,183
.487793,0,192
.487793,0,201
.487793,0,210
.487793,0,219
1.708496,0,228
2.013672,0,237
2.013672,0,246
2.929199,0,255
2.929199,0,264
2.929199,0,273
2.929199,0,282
2.929199,0,291
4.760254,0,300
5.370605,0,309
5.370605,0,318
5.370605,0,327
6.896484,0,336
6.896484,0,345
7.20166,0,354
7.812012,0,363
7.812012,0,372
7.812012,0,381
7.812012,0,390
7.812012,0,399
9.643066,0,408
10.25342,0,417
10.25342,0,426
11.16895,0,435
10.86377,0,444
11.7793,0,453
12.69482,0,462
12.69482,0,471
12.69482,0,480
14.52588,0,489
15.13623,0,498
16.35693,0,507
16.05176,0,516
16.96729,0,525
17.27246,0,534
17.57764,0,543
17.57764,0,552
19.40869,0,561
20.01904,0,570
20.62939,0,579
20.62939,0,588
21.8501,0,597
22.46045,0,606
22.46045,0,615
22.46045,0,624
24.90186,0,633
24.90186,0,642
24.90186,0,651
26.12256,0,660
25.51221,0,669
26.42773,0,678
26.42773,0,687
27.34326,0,696
27.34326,0,705
27.34326,0,714
29.17432,0,723
29.78467,0,732
31.00537,0,741
31.61572,0,750
32.22607,0,759
32.22607,0,768
34.05713,0,777
34.66748,0,786
34.66748,0,795
35.88818,0,804
36.49854,.009,813
37.10889,.009,822
37.10889,.009,831
39.55029,.009,840
40.46582,.009,849
41.07617,.009,858
41.9917,.009,867
41.9917,.009,876
41.9917,.009,885
44.43311,.009,894
44.43311,.009,903
45.04346,.009,912
45.95898,.009,921
45.95898,.009,930
46.87451,.009,939
46.87451,.009,948
49.31592,.009,957
49.31592,.009,966
51.45215,.009,975
51.14697,.009,984
51.75732,.009,993
51.75732,.009,1002
53.58838,.009,1011
51.75732,.009,1020
54.80908,.009,1029
55.72461,.009,1038
56.33496,.009,1047
58.16602,.009,1056
59.08154,.009,1065
60.9126,.009,1074
61.52295,.009,1083
61.52295,.009,1092
63.354,.009,1101
63.96436,.009,1110
64.57471,.009,1119
65.49023,.009,1128
66.40576,.009,1137
66.40576,.009,1146
68.54199,.009,1155
68.84717,.009,1164
70.37305,.009,1173
70.9834,.009,1182
71.28857,.009,1191
71.28857,.009,1200
73.72998,.009,1209
73.72998,.009,1218
73.72998,.009,1227
75.25586,.009,1236
75.56104,.009,1245
76.17139,.009,1254
76.17139,.018,1263
76.17139,.018,1272
78.00244,.018,1281
78.00244,.018,1290
78.61279,.018,1299
80.44385,.018,1308
80.74902,.018,1317
81.0542,.018,1326
81.0542,.018,1335
83.49561,.018,1344
83.49561,.018,1353
85.02148,.018,1362
85.93701,.018,1371
85.93701,.018,1380
88.37842,.018,1389
88.37842,.018,1398
88.98877,.018,1407
89.59912,.018,1416
90.81982,.018,1425
90.81982,.018,1434
90.81982,.018,1443
93.26123,.018,1452
94.78711,.018,1461
95.39746,.018,1470
95.70264,.018,1479
95.70264,.018,1488
98.14404,.027,1497
95.70264,.027,1506
98.75439,.027,1515
99.9751,.027,1524
99.9751,.027,1533
100.5854,.027,1542
100.5854,.027,1551
103.0269,.027,1560
103.0269,.027,1569
103.6372,.027,1578
104.5527,.027,1587
105.4683,.027,1596
105.4683,.027,1605
106.9941,.027,1614
107.2993,.027,1623
107.9097,.027,1632
108.52,.027,1641
109.7407,.036,1650
110.0459,.036,1659
110.3511,.036,1668
110.3511,.036,1677
111.877,.036,1686
112.7925,.036,1695
114.0132,.036,1704
114.6235,.036,1713
115.2339,.036,1722
115.2339,.036,1731
117.0649,.036,1740
117.6753,.036,1749
117.6753,.045,1758
118.896,.045,1767
117.6753,.045,1776
119.5063,.045,1785
120.1167,.045,1794
120.1167,.045,1803
120.1167,.045,1812
121.9478,.045,1821
122.5581,.045,1830
122.5581,.054,1839
123.7788,.054,1848
124.084,.054,1857
124.084,.054,1866
124.9995,.054,1875
124.9995,.054,1884
124.9995,.054,1893
126.8306,.054,1902
127.4409,.063,1911
127.4409,.063,1920
128.0513,.063,1929
129.8823,.063,1938
129.8823,.063,1947
129.8823,.063,1956
132.3237,.072,1965
132.9341,.072,1974
133.5444,.072,1983
134.7651,.072,1992
134.7651,.072,2001
136.291,.081,2010
136.5962,.081,2019
137.2065,.081,2028
138.4272,.081,2037
138.7324,.081,2046
139.0376,.09,2055
139.6479,.09,2064
139.6479,.09,2073
142.0894,.09,2082
142.6997,.09,2091
143.6152,.09,2100
143.9204,.099,2109
144.5308,.099,2118
144.5308,.099,2127
146.3618,.099,2136
146.9722,.099,2145
146.9722,.108,2154
148.498,.108,2163
149.4136,.108,2172
149.4136,.108,2181
149.4136,.117,2190
151.2446,.117,2199
151.855,.117,2208
153.0757,.117,2217
153.9912,.126,2226
154.2964,.126,2235
154.2964,.126,2244
155.8223,.126,2253
156.1274,.126,2262
156.1274,.135,2271
156.7378,.135,2280
156.7378,.135,2289
158.2637,.135,2298
158.874,.135,2307
159.1792,.144,2316
159.1792,.144,2325
159.1792,.144,2334
159.1792,.153,2343
161.6206,.153,2352
161.6206,.153,2361
162.231,.153,2370
162.231,.162,2379
163.4517,.162,2388
163.1465,.162,2397
164.062,.171,2406
164.062,.171,2415
164.062,.171,2424
165.8931,.18,2433
165.8931,.18,2442
165.8931,.18,2451
166.5034,.189,2460
167.1138,.189,2469
168.0293,.189,2478
168.6396,.198,2487
168.9448,.198,2496
168.9448,.198,2505
168.9448,.207,2514
168.9448,.207,2523
168.9448,.207,2532
171.3862,.216,2541
171.9966,.216,2550
173.5225,.225,2559
173.8276,.225,2568
173.8276,.225,2577
173.8276,.234,2586
176.269,.234,2595
176.269,.243,2604
176.269,.243,2613
178.1001,.243,2622
178.7104,.252,2631
178.7104,.252,2640
178.7104,.261,2649
180.5415,.261,2658
181.1519,.27,2667
181.7622,.27,2676
182.6777,.27,2685
183.5933,.279,2694
183.5933,.279,2703
185.4243,.288,2712
186.0347,.288,2721
186.0347,.288,2730
187.5605,.297,2739
188.1709,.297,2748
188.4761,.306,2757
188.4761,.306,2766
190.9175,.315,2775
190.9175,.315,2784
192.4434,.315,2793
193.0537,.324,2802
193.3589,.324,2811
193.3589,.333,2820
194.8848,.333,2829
195.8003,.342,2838
197.3262,.342,2847
197.3262,.342,2856
197.6313,.351,2865
198.2417,.351,2874
200.3779,.36,2883
200.6831,.36,2892
201.9038,.369,2901
202.8193,.369,2910
203.1245,.378,2919
203.1245,.378,2928
205.2607,.378,2937
205.5659,.387,2946
206.1763,.387,2955
207.7021,.396,2964
208.0073,.396,2973
208.0073,.405,2982
209.8384,.405,2991
209.8384,.414,3000
211.9746,.414,3009
212.2798,.414,3018
212.8901,.423,3027
212.8901,.423,3036
214.7212,.432,3045
215.3315,.432,3054
216.5522,.441,3063
216.8574,.441,3072
217.7729,.45,3081
217.7729,.45,3090
219.604,.459,3099
220.2144,.459,3108
220.8247,.459,3117
221.7402,.468,3126
222.6558,.468,3135
222.6558,.477,3144
222.6558,.477,3153
225.0972,.486,3162
225.0972,.486,3171
226.623,.495,3180
227.2334,.495,3189
227.5386,.495,3198
227.5386,.504,3207
229.98,.513,3216
229.98,.513,3225
231.2007,.522,3234
231.811,.522,3243
232.4214,.522,3252
232.4214,.531,3261
234.2524,.531,3270
234.8628,.54,3279
234.8628,.54,3288
236.3887,.549,3297
236.999,.549,3306
237.3042,.558,3315
237.3042,.558,3324
237.3042,.567,3333
239.1353,.567,3342
239.7456,.576,3351
240.356,.576,3360
241.2715,.576,3369
241.2715,.585,3378
242.187,.594,3387
242.187,.594,3396
244.0181,.594,3405
244.6284,.603,3414
245.8491,.603,3423
246.4595,.612,3432
247.0698,.612,3441
247.0698,.621,3450
247.0698,.63,3459
248.9009,.63,3468
249.5112,.639,3477
249.5112,.639,3486
251.3423,.648,3495
251.9526,.648,3504
251.9526,.657,3513
253.7837,.657,3522
254.394,.666,3531
255.6147,.666,3540
255.6147,.675,3549
256.8354,.675,3558
256.8354,.684,3567
256.8354,.684,3576
258.6665,.693,3585
259.2769,.693,3594
259.8872,.702,3603
261.4131,.702,3612
261.7183,.711,3621
263.2441,.711,3630
264.1597,.72,3639
264.1597,.729,3648
265.9907,.729,3657
266.6011,.738,3666
266.6011,.738,3675
268.4321,.747,3684
269.0425,.747,3693
269.6528,.756,3702
271.1787,.756,3711
271.4839,.765,3720
273.0098,.765,3729
273.9253,.774,3738
273.9253,.774,3747
275.4512,.783,3756
276.3667,.783,3765
276.3667,.792,3774
276.3667,.792,3783
278.1978,.801,3792
279.4185,.81,3801
280.334,.81,3810
281.2495,.81,3819
281.2495,.819,3828
283.6909,.819,3837
283.6909,.828,3846
285.2168,.837,3855
286.1323,.837,3864
286.1323,.846,3873
288.2686,.846,3882
288.5737,.855,3891
288.5737,.855,3900
290.71,.855,3909
291.0151,.864,3918
292.8462,.864,3927
293.4565,.873,3936
294.6772,.882,3945
295.8979,.882,3954
295.8979,.882,3963
295.8979,.891,3972
295.8979,.891,3981
298.3394,.9,3990
300.1704,.9,3999
300.7808,.909,4008
300.7808,.909,4017
303.2222,.918,4026
303.2222,.918,4035
304.4429,.927,4044
305.0532,.927,4053
305.6636,.936,4062
305.6636,.936,4071
308.105,.945,4080
308.105,.945,4089
308.7153,.954,4098
310.5464,.954,4107
310.5464,.954,4116
310.5464,.963,4125
312.9878,.963,4134
312.9878,.972,4143
314.8188,.972,4152
315.4292,.981,4161
315.4292,.981,4170
317.2603,.99,4179
317.8706,.99,4188
317.8706,.999,4197
319.7017,.999,4206
320.0068,.999,4215
320.312,1.008,4224
320.312,1.008,4233
320.312,1.017,4242
322.7534,1.017,4251
324.2793,1.026,4260
324.5845,1.026,4269
325.1948,1.035,4278
325.1948,1.035,4287
325.1948,1.044,4296
327.0259,1.044,4305
327.6362,1.053,4314
328.8569,1.053,4323
329.1621,1.062,4332
329.4673,1.062,4341
330.0776,1.071,4350
330.0776,1.071,4359
330.0776,1.08,4368
332.519,1.08,4377
333.7397,1.089,4386
333.7397,1.089,4395
334.3501,1.098,4404
334.9604,1.098,4413
334.9604,1.107,4422
334.9604,1.107,4431
334.9604,1.116,4440
337.4019,1.116,4449
337.4019,1.125,4458
338.0122,1.125,4467
339.2329,1.134,4476
338.9277,1.134,4485
339.8433,1.143,4494
339.8433,1.143,4503
339.8433,1.152,4512
342.2847,1.152,4521
342.2847,1.161,4530
342.2847,1.17,4539
342.2847,1.17,4548
344.1157,1.179,4557
344.1157,1.179,4566
344.7261,1.188,4575
344.7261,1.188,4584
344.7261,1.197,4593
346.5571,1.206,4602
347.1675,1.206,4611
347.7778,1.215,4620
348.3882,1.215,4629
349.3037,1.224,4638
348.3882,1.233,4647
349.6089,1.242,4656
349.6089,1.242,4665
349.3037,1.251,4674
349.6089,1.251,4683
351.1348,1.26,4692
351.4399,1.269,4701
351.4399,1.278,4710
349.6089,1.278,4719
349.6089,1.287,4728
349.6089,1.296,4737
349.6089,1.296,4746
351.1348,1.305,4755
351.1348,1.314,4764
351.4399,1.323,4773
351.1348,1.323,4782
349.6089,1.332,4791
349.6089,1.341,4800
351.1348,1.35,4809
351.1348,1.359,4818
350.8296,1.368,4827
351.1348,1.377,4836
351.1348,1.386,4845
351.1348,1.395,4854
349.6089,1.395,4863
349.6089,1.404,4872
349.6089,1.413,4881
349.6089,1.422,4890
349.6089,1.431,4899
349.6089,1.44,4908
349.6089,1.449,4917
349.6089,1.458,4926
349.6089,1.467,4935
349.6089,1.476,4944
349.6089,1.485,4953
349.6089,1.494,4962
349.6089,1.512,4971
348.9985,1.521,4980
348.9985,1.53,4989
348.6934,1.539,4998
348.3882,1.548,5007
348.3882,1.566,5016
347.1675,1.575,5025
347.7778,1.584,5034
347.1675,1.593,5043
347.1675,1.611,5052
347.1675,1.62,5061
346.5571,1.629,5070
347.1675,1.647,5079
346.252,1.656,5088
344.7261,1.674,5097
344.7261,1.683,5106
344.7261,1.692,5115
343.8105,1.71,5124
343.8105,1.719,5133
344.7261,1.737,5142
344.7261,1.746,5151
344.7261,1.764,5160
344.7261,1.773,5169
344.7261,1.791,5178
343.8105,1.8,5187
344.4209,1.818,5196
342.2847,1.827,5205
344.4209,1.845,5214
343.8105,1.863,5223
343.8105,1.881,5232
343.8105,1.89,5241
343.8105,1.908,5250
343.8105,1.926,5259
343.8105,1.935,5268
343.5054,1.953,5277
343.5054,1.971,5286
344.4209,1.989,5295
344.1157,2.007,5304
344.7261,2.016,5313
344.7261,2.034,5322
343.8105,2.052,5331
344.7261,2.07,5340
344.7261,2.088,5349
344.7261,2.106,5358
346.252,2.115,5367
347.1675,2.133,5376
347.1675,2.151,5385
348.083,2.169,5394
348.9985,2.187,5403
349.3037,2.205,5412
349.6089,2.223,5421
349.6089,2.241,5430
352.0503,2.259,5439
353.5762,2.277,5448
354.4917,2.295,5457
354.4917,2.304,5466
356.9331,2.322,5475
358.459,2.34,5484
359.3745,2.358,5493
361.8159,2.376,5502
363.3418,2.394,5511
364.2573,2.412,5520
366.6987,2.421,5529
369.1401,2.439,5538
371.2764,2.457,5547
373.1074,2.475,5556
374.0229,2.484,5565
377.0747,2.502,5574
378.2954,2.52,5583
381.3472,2.538,5592
383.7886,2.547,5601
385.6196,2.565,5610
387.4507,2.574,5619
388.6714,2.592,5628
392.6387,2.61,5637
393.5542,2.619,5646
395.9956,2.637,5655
398.437,2.646,5664
400.8784,2.664,5673
403.3198,2.673,5682
405.7612,2.682,5691
407.2871,2.7,5700
410.0337,2.709,5709
412.4751,2.727,5718
413.0854,2.736,5727
417.3579,2.745,5736
419.4941,2.754,5745
420.4097,2.763,5754
422.8511,2.781,5763
426.8184,2.79,5772
427.7339,2.799,5781
432.0063,2.808,5790
435.0581,2.817,5799
437.4995,2.826,5808
439.9409,2.835,5817
442.3823,2.844,5826
446.3496,2.853,5835
449.0962,2.862,5844
452.1479,2.871,5853
454.5894,2.871,5862
457.0308,2.88,5871
457.0308,2.889,5880
461.9136,2.898,5889
463.7446,2.898,5898
466.7964,2.907,5907
469.2378,2.916,5916
471.6792,2.916,5925
473.8154,2.925,5934
475.6465,2.925,5943
476.562,2.934,5952
476.562,2.934,5961
479.6138,2.943,5970
481.4448,2.943,5979
481.4448,2.952,5988
483.8862,2.952,5997
485.4121,2.961,6006
485.7173,2.961,6015
487.8535,2.97,6024
488.769,2.97,6033
490.2949,2.97,6042
491.2104,2.979,6051
493.0415,2.979,6060
493.6519,2.988,6069
495.4829,2.988,6078
496.0933,2.988,6087
497.6191,2.997,6096
498.5347,2.997,6105
500.0605,3.006,6114
500.9761,3.006,6123
500.9761,3.006,6132
502.8071,3.015,6141
503.4175,3.015,6150
505.8589,3.015,6159
505.8589,3.024,6168
507.6899,3.024,6177
508.3003,3.024,6186
509.521,3.033,6195
